Day,Month,Year,Flowrate
1,1,1960,509.4
2,1,1960,359.4
3,1,1960,325.5
4,1,1960,294.3
5,1,1960,258.1
6,1,1960,232.9
7,1,1960,218.8
8,1,1960,206
9,1,1960,160.7
10,1,1960,155.1
11,1,1960,176.3
12,1,1960,178.3
13,1,1960,176.9
14,1,1960,172.9
15,1,1960,167.3
16,1,1960,129
17,1,1960,112.1
18,1,1960,168.4
19,1,1960,155.9
20,1,1960,140.7
21,1,1960,182.8
22,1,1960,676.4
23,1,1960,648.1
24,1,1960,356.6
25,1,1960,282.2
26,1,1960,239.1
27,1,1960,219.6
28,1,1960,213.9
29,1,1960,194.7
30,1,1960,158.2
31,1,1960,209.1
1,2,1960,410.4
2,2,1960,645.2
3,2,1960,990.5
4,2,1960,684.9
5,2,1960,418.8
6,2,1960,314.1
7,2,1960,257.5
8,2,1960,240.3
9,2,1960,217.1
10,2,1960,197.8
11,2,1960,191.3
12,2,1960,187.1
13,2,1960,170.4
14,2,1960,155.9
15,2,1960,165
16,2,1960,155.1
17,2,1960,147.7
18,2,1960,150.6
19,2,1960,146.9
20,2,1960,129
21,2,1960,110.1
22,2,1960,125.7
23,2,1960,117.4
24,2,1960,126.8
25,2,1960,178.3
26,2,1960,225
27,2,1960,433
28,2,1960,399
29,2,1960,529.2
1,3,1960,500.9
2,3,1960,342.4
3,3,1960,302.8
4,3,1960,262.3
5,3,1960,207.7
6,3,1960,200.4
7,3,1960,194.7
8,3,1960,176.9
9,3,1960,173.5
10,3,1960,212
11,3,1960,262.3
12,3,1960,209.7
13,3,1960,202.3
14,3,1960,251.6
15,3,1960,353.8
16,3,1960,305.6
17,3,1960,242.5
18,3,1960,215.9
19,3,1960,173.5
20,3,1960,185.9
21,3,1960,205.2
22,3,1960,177.4
23,3,1960,173.5
24,3,1960,165.3
25,3,1960,154.5
26,3,1960,118
27,3,1960,109
28,3,1960,126.2
29,3,1960,126.8
30,3,1960,116
31,3,1960,116.6
1,4,1960,114.1
2,4,1960,202.3
3,4,1960,512.2
4,4,1960,339.6
5,4,1960,475.4
6,4,1960,407.5
7,4,1960,308.5
8,4,1960,266.6
9,4,1960,236.9
10,4,1960,247.9
11,4,1960,247.6
12,4,1960,228.9
13,4,1960,319.8
14,4,1960,373.6
15,4,1960,322.6
16,4,1960,240.3
17,4,1960,197.3
18,4,1960,210.3
19,4,1960,174.3
20,4,1960,169.2
21,4,1960,175.5
22,4,1960,170.7
23,4,1960,125.7
24,4,1960,124.5
25,4,1960,135.6
26,4,1960,134.4
27,4,1960,129
28,4,1960,123.1
29,4,1960,121.1
30,4,1960,100.7
1,5,1960,72.73
2,5,1960,98.77
3,5,1960,100.2
4,5,1960,101
5,5,1960,110.4
6,5,1960,103
7,5,1960,78.96
8,5,1960,76.13
9,5,1960,90.56
10,5,1960,83.77
11,5,1960,89.71
12,5,1960,99.33
13,5,1960,238
14,5,1960,235.7
15,5,1960,181.1
16,5,1960,172.6
17,5,1960,145.2
18,5,1960,125.1
19,5,1960,129
20,5,1960,113.5
21,5,1960,89.71
22,5,1960,79.81
23,5,1960,104.4
24,5,1960,125.1
25,5,1960,110.9
26,5,1960,102.4
27,5,1960,97.35
28,5,1960,76.69
29,5,1960,71.6
30,5,1960,78.96
31,5,1960,78.96
1,6,1960,84.05
2,6,1960,83.77
3,6,1960,81.22
4,6,1960,61.98
5,6,1960,59.43
6,6,1960,75.28
7,6,1960,71.6
8,6,1960,86.88
9,6,1960,97.92
10,6,1960,91.13
11,6,1960,68.2
12,6,1960,82.92
13,6,1960,109.5
14,6,1960,93.11
15,6,1960,112.9
16,6,1960,95.37
17,6,1960,89.43
18,6,1960,75.28
19,6,1960,83.77
20,6,1960,74.43
21,6,1960,68.77
22,6,1960,66.51
23,6,1960,66.51
24,6,1960,62.83
25,6,1960,55.19
26,6,1960,51.79
27,6,1960,58.3
28,6,1960,51.22
29,6,1960,55.75
30,6,1960,52.92
1,7,1960,50.37
2,7,1960,49.53
3,7,1960,49.24
4,7,1960,49.24
5,7,1960,53.49
6,7,1960,63.39
7,7,1960,63.96
8,7,1960,56.88
9,7,1960,54.9
10,7,1960,48.96
11,7,1960,51.22
12,7,1960,56.88
13,7,1960,53.49
14,7,1960,59.15
15,7,1960,60.85
16,7,1960,59.43
17,7,1960,80.94
18,7,1960,81.22
19,7,1960,67.64
20,7,1960,64.81
21,7,1960,61.98
22,7,1960,62.26
23,7,1960,59.15
24,7,1960,54.05
25,7,1960,51.22
26,7,1960,49.24
27,7,1960,48.11
28,7,1960,49.81
29,7,1960,50.66
30,7,1960,49.81
31,7,1960,52.07
1,8,1960,52.92
2,8,1960,51.22
3,8,1960,52.36
4,8,1960,51.22
5,8,1960,49.24
6,8,1960,51.79
7,8,1960,58.86
8,8,1960,51.51
9,8,1960,58.3
10,8,1960,52.92
11,8,1960,52.92
12,8,1960,51.79
13,8,1960,49.53
14,8,1960,48.39
15,8,1960,48.11
16,8,1960,47.55
17,8,1960,48.39
18,8,1960,54.05
19,8,1960,52.64
20,8,1960,48.96
21,8,1960,48.96
22,8,1960,71.88
23,8,1960,71.88
24,8,1960,61.7
25,8,1960,147.2
26,8,1960,163.6
27,8,1960,123.7
28,8,1960,167.5
29,8,1960,139
30,8,1960,107.5
31,8,1960,95.37
1,9,1960,87.17
2,9,1960,96.22
3,9,1960,112.4
4,9,1960,101.6
5,9,1960,95.94
6,9,1960,91.41
7,9,1960,92.26
8,9,1960,85.75
9,9,1960,77.54
10,9,1960,67.07
11,9,1960,70.75
12,9,1960,93.96
13,9,1960,80.37
14,9,1960,279
15,9,1960,235.7
16,9,1960,171.2
17,9,1960,150.3
18,9,1960,141.2
19,9,1960,141.8
20,9,1960,132.7
21,9,1960,118
22,9,1960,114.1
23,9,1960,100.7
24,9,1960,73.02
25,9,1960,70.19
26,9,1960,78.68
27,9,1960,84.62
28,9,1960,78.11
29,9,1960,88.86
30,9,1960,90.28
1,10,1960,91.41
2,10,1960,194.4
3,10,1960,413.2
4,10,1960,283
5,10,1960,220.2
6,10,1960,191.9
7,10,1960,171.2
8,10,1960,155.7
9,10,1960,128.5
10,10,1960,144.6
11,10,1960,138.4
12,10,1960,116.6
13,10,1960,117.4
14,10,1960,103.6
15,10,1960,73.02
16,10,1960,70.19
17,10,1960,97.92
18,10,1960,99.33
19,10,1960,110.9
20,10,1960,148.9
21,10,1960,181.1
22,10,1960,166.1
23,10,1960,317
24,10,1960,435.8
25,10,1960,278.5
26,10,1960,311.3
27,10,1960,267.7
28,10,1960,279
29,10,1960,238.6
30,10,1960,242
31,10,1960,248.5
1,11,1960,362.2
2,11,1960,348.1
3,11,1960,288.7
4,11,1960,268.9
5,11,1960,192.4
6,11,1960,172.1
7,11,1960,188.5
8,11,1960,179.4
9,11,1960,175.5
10,11,1960,291.5
11,11,1960,393.4
12,11,1960,300
13,11,1960,272
14,11,1960,328.3
15,11,1960,322.6
16,11,1960,274.8
17,11,1960,247.1
18,11,1960,228.9
19,11,1960,183.7
20,11,1960,167.5
21,11,1960,238
22,11,1960,209.1
23,11,1960,197.8
24,11,1960,203.5
25,11,1960,196.1
26,11,1960,154.2
