Year,Flowrate
1960,170.43136612021857
1961,190.6953698630137
1962,158.2649589041096
1963,155.88605479452056
1964,132.4391256830601
1965,158.91945205479453
1966,175.16104109589043
1967,185.47654794520548
1968,135.70150273224044
1969,128.99602739726026
1970,160.8969589041096
1971,127.0491506849315
1972,145.11571038251367
1973,117.48268493150685
1974,176.5718904109589
1975,134.54290410958905
1976,150.86915300546448
1977,162.42254794520548
1978,164.40342465753426
1979,167.5613698630137
1980,156.88680327868852
1981,167.09142465753425
1982,207.83958904109588
1983,184.63065753424658
1984,184.03390710382513
1985,184.81402739726028
1986,197.10167123287673
1987,143.70238356164384
1988,207.7043169398907
1989,179.71375342465754
1990,215.1487397260274
1991,180.5683287671233
1992,185.85360655737705
1993,183.87682191780823
1994,210.74879452054793
1995,182.43997260273972
1996,143.5844262295082
1997,158.94964383561643
1998,194.7174794520548
1999,210.98734246575341
2000,213.53598360655738
2001,150.05269863013697
2002,222.80518356164384
2003,118.47659726027398
2004,190.93603005464482
2005,192.4068082191781
2006,190.3015424657534
