num_claims,payment
108.00,392.50
19.00,46.20
13.00,15.70
124.00,422.20
40.00,119.40
57.00,170.90
23.00,56.90
14.00,77.50
45.00,214.00
10.00,65.30
5.00,20.90
48.00,248.10
11.00,23.50
23.00,39.60
7.00,48.80
2.00,6.60
24.00,134.90
6.00,50.90
3.00,4.40
23.00,113.00
6.00,14.80
9.00,48.70
9.00,52.10
3.00,13.20
29.00,103.90
7.00,77.50
4.00,11.80
20.00,98.10
7.00,27.90
4.00,38.10
0.00,0.00
25.00,69.20
6.00,14.60
5.00,40.30
22.00,161.50
11.00,57.20
61.00,217.60
12.00,58.10
4.00,12.60
16.00,59.60
13.00,89.90
60.00,202.40
41.00,181.30
37.00,152.80
55.00,162.80
41.00,73.40
11.00,21.30
27.00,92.60
8.00,76.10
3.00,39.90
17.00,142.10
13.00,93.00
13.00,31.90
15.00,32.10
8.00,55.60
29.00,133.30
30.00,194.50
24.00,137.90
9.00,87.40
31.00,209.80
14.00,95.50
53.00,244.60
26.00,187.50
